Size, Seq, Par, Libc
100, 0.000006, 0.025291, 0.000012
100, 0.000005, 0.027411, 0.000011
100, 0.000006, 0.022921, 0.000012
100, 0.000006, 0.020950, 0.000010
100, 0.000006, 0.031096, 0.000012
1000, 0.000065, 0.090275, 0.000361
1000, 0.000065, 0.125037, 0.000365
1000, 0.000066, 0.131259, 0.000374
1000, 0.000065, 0.133857, 0.000362
1000, 0.000066, 0.190462, 0.000365
10000, 0.000788, 0.174548, 0.001555
10000, 0.000784, 0.188907, 0.001424
10000, 0.000780, 0.193860, 0.001407
10000, 0.000779, 0.174560, 0.001442
10000, 0.000797, 0.204420, 0.001394
100000, 0.009286, 0.374333, 0.014094
100000, 0.009220, 0.325917, 0.014021
100000, 0.009204, 0.278327, 0.015800
100000, 0.009078, 0.302376, 0.014131
100000, 0.009108, 0.286056, 0.014031
1000000, 0.108616, 0.366300, 0.169993
1000000, 0.106769, 0.389508, 0.168558
1000000, 0.107175, 0.372933, 0.169878
1000000, 0.107407, 0.336107, 0.167518
1000000, 0.108057, 0.372937, 0.168201
