Size, Seq, Par, Libc
100, 0.000018, 0.025061, 0.000017
100, 0.000010, 0.023666, 0.000014
100, 0.000008, 0.028968, 0.000010
100, 0.000006, 0.020988, 0.000010
100, 0.000006, 0.018709, 0.000010
1000, 0.000065, 0.116820, 0.000169
1000, 0.000065, 0.116836, 0.000166
1000, 0.000064, 0.121169, 0.000162
1000, 0.000065, 0.125847, 0.000162
1000, 0.000064, 0.126096, 0.000164
10000, 0.000782, 0.252655, 0.001185
10000, 0.000777, 0.243435, 0.001193
10000, 0.000774, 0.216337, 0.001197
10000, 0.000774, 0.193493, 0.001194
10000, 0.000775, 0.229892, 0.001195
100000, 0.009236, 0.332334, 0.013894
100000, 0.009071, 0.269435, 0.015589
100000, 0.009173, 0.339264, 0.013880
100000, 0.013681, 0.287362, 0.013828
100000, 0.009267, 0.253578, 0.013899
1000000, 0.131082, 0.383328, 0.166009
1000000, 0.104341, 0.345303, 0.166525
1000000, 0.137386, 0.375942, 0.165161
1000000, 0.104815, 0.362450, 0.165593
1000000, 0.106233, 0.414744, 0.166720
