Size, Seq, Par, Libc
100, 0.000005, 0.030700, 0.000011
100, 0.000006, 0.024895, 0.000011
100, 0.000005, 0.024353, 0.000010
100, 0.000006, 0.015841, 0.000011
100, 0.000005, 0.020140, 0.000011
1000, 0.000066, 0.122948, 0.000411
1000, 0.000066, 0.127038, 0.000423
1000, 0.000066, 0.122215, 0.000505
1000, 0.000066, 0.147366, 0.000418
1000, 0.000067, 0.146484, 0.000415
10000, 0.000778, 0.216297, 0.001460
10000, 0.000799, 0.214781, 0.001457
10000, 0.000774, 0.200624, 0.001469
10000, 0.000776, 0.233652, 0.001522
10000, 0.000785, 0.213643, 0.001505
100000, 0.009486, 0.276287, 0.014313
100000, 0.009193, 0.312326, 0.013959
100000, 0.009332, 0.307020, 0.014103
100000, 0.009424, 0.287497, 0.013965
100000, 0.009182, 0.252908, 0.013760
1000000, 0.105664, 0.338192, 0.167931
1000000, 0.113806, 0.388145, 0.177015
1000000, 0.112051, 0.354589, 0.171177
1000000, 0.107283, 0.353091, 0.168387
1000000, 0.108950, 0.425056, 0.180706
