Size, Seq, Par, Libc
100, 0.000013, 0.039276, 0.000018
100, 0.000008, 0.036906, 0.000015
100, 0.000008, 0.035959, 0.000014
100, 0.000009, 0.029181, 0.000010
100, 0.000005, 0.023503, 0.000010
1000, 0.000066, 0.121960, 0.000352
1000, 0.000067, 0.124088, 0.000351
1000, 0.000066, 0.148439, 0.000358
1000, 0.000066, 0.119068, 0.000352
1000, 0.000065, 0.128748, 0.000351
10000, 0.000796, 0.230385, 0.001376
10000, 0.000775, 0.246889, 0.001368
10000, 0.000772, 0.222551, 0.001365
10000, 0.000774, 0.228398, 0.001385
10000, 0.000776, 0.222260, 0.001370
100000, 0.009146, 0.219741, 0.014011
100000, 0.009189, 0.247747, 0.013960
100000, 0.010282, 0.245907, 0.013937
100000, 0.009119, 0.292473, 0.014003
100000, 0.009062, 0.294029, 0.013962
1000000, 0.100268, 0.362973, 0.162313
1000000, 0.102284, 0.327530, 0.161396
1000000, 0.101858, 0.332647, 0.167199
1000000, 0.100962, 0.373436, 0.163557
1000000, 0.100833, 0.407887, 0.165380
