Size, Seq, Par, Libc
100, 0.000027, 0.031551, 0.000013
100, 0.000010, 0.027238, 0.000013
100, 0.000010, 0.023294, 0.000012
100, 0.000010, 0.025696, 0.000013
100, 0.000010, 0.027738, 0.000013
1000, 0.000125, 0.142050, 0.000377
1000, 0.000124, 0.136347, 0.000359
1000, 0.000125, 0.156386, 0.000354
1000, 0.000127, 0.129027, 0.000350
1000, 0.000124, 0.126229, 0.000352
10000, 0.001592, 0.292435, 0.001801
10000, 0.001604, 0.276071, 0.001804
10000, 0.001601, 0.257549, 0.001801
10000, 0.001635, 0.215303, 0.001795
10000, 0.001612, 0.226667, 0.001802
100000, 0.019559, 0.313211, 0.019758
100000, 0.019681, 0.295177, 0.019661
100000, 0.029892, 0.265457, 0.019573
100000, 0.018749, 0.236248, 0.019550
100000, 0.018727, 0.277710, 0.019855
1000000, 0.221059, 0.375091, 0.229948
1000000, 0.219709, 0.377118, 0.230156
1000000, 0.288965, 0.386029, 0.232905
1000000, 0.221486, 0.371694, 0.229090
1000000, 0.316083, 0.393258, 0.232833
