Size, Seq, Par, Libc
100, 0.000010, 0.022918, 0.000012
100, 0.000010, 0.017413, 0.000012
100, 0.000010, 0.022738, 0.000012
100, 0.000010, 0.023870, 0.000012
100, 0.000010, 0.026215, 0.000012
1000, 0.000125, 0.121610, 0.000337
1000, 0.000125, 0.147820, 0.000341
1000, 0.000119, 0.103753, 0.000336
1000, 0.000121, 0.081794, 0.000346
1000, 0.000120, 0.092516, 0.000335
10000, 0.001599, 0.242801, 0.001777
10000, 0.001614, 0.264357, 0.001794
10000, 0.001595, 0.272633, 0.001790
10000, 0.001621, 0.220902, 0.001798
10000, 0.001624, 0.209971, 0.001809
100000, 0.019500, 0.281294, 0.019462
100000, 0.019387, 0.312295, 0.019680
100000, 0.018324, 0.259825, 0.019482
100000, 0.018722, 0.262400, 0.019672
100000, 0.018611, 0.292043, 0.019494
1000000, 0.224257, 0.384540, 0.227766
1000000, 0.274430, 0.399167, 0.229018
1000000, 0.223308, 0.383902, 0.225927
1000000, 0.281514, 0.428503, 0.226510
1000000, 0.225354, 0.417249, 0.235277
